Title,Author,Released,Purchased,Medium,Type,Category,Methodology,Theme1,Theme2,Theme3,Theme4,Theme5
Execution,Larry Bossidy & Ram Charan,2002,2017-09-30,Audible,Knowledge,Strategy,,leadership,strategy,delivery,business-value,
QualityLand,Marc-Uwe Kling,2017,2017-09-30,Audible,Story,Near Future,,ai-impact,future-scenarios,digital,human-behavior,
Actionable Agile Metrics For Predictability,Daniel Vacanti,2015,2017-09-18,Kindle,Knowledge,Agile & Lean,Agile-Generic,agile,delivery,flow,business-agility,
Das Fundament der Ewigkeit,Ken Follett,2017,2017-09-13,Audible,Story,Historical Fiction,,civilization,power-dynamics,strategy,,
All These Worlds,Dennis E. Taylor,2017,2017-09-01,Audible,Story,Space Opera,,consciousness,ai-impact,civilization,future-scenarios,
Miteinander reden 3,Friedemann Schulz von Thun,1998,2017-08-21,Audible,Knowledge,Communication,,human-behavior,influence,leadership,,
Columbus Day,Craig Alanson,2017,2017-08-20,Audible,Story,Space Opera,,civilization,ai-impact,future-scenarios,chaos,
The 5 Levels of Leadership,John C. Maxwell,2011,2017-08-06,Audible,Knowledge,Leadership,,leadership,influence,identity,,
Die Kunst des Krieges,Sun Tzu,2003,2017-08-05,Audible,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Der Fürst,Niccolò Machiavelli,1513,2017-08-05,Audible,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Glashaus: Die komplette 2. Staffel,Christian Gailus,2017,2017-08-01,Audible,Story,Thriller,,chaos,power-dynamics,,,
What We Think About When We Try Not To Think About Global Warming,Per Espen Stoknes,2015,2017-07-31,Kindle,Knowledge,Science,,ethics,human-behavior,future-scenarios,civilization,
Glashaus: Die komplette 1. Staffel,Christian Gailus,2016,2017-07-30,Audible,Story,Thriller,,chaos,power-dynamics,,,
Corrupción policial,Don Winslow,2017,2017-07-19,Kindle,Story,Crime,,power-dynamics,ethics,chaos,,
Corruption,Don Winslow,2017,2017-07-19,Audible,Story,Crime,,power-dynamics,ethics,chaos,,
Fight and Flight,Scott Meyer,2017,2017-07-17,Audible,Story,Comedy,,chaos,identity,,,
Ist es schon Mobbing?,Tatjana Jerz,2017,2017-07-16,Kindle,Knowledge,Organization,,human-behavior,power-dynamics,ethics,,
Esos cielos,Bernardo Atxaga,2016,2017-07-02,Kindle,Story,Literary Fiction,,identity,civilization,,,
Cicatriz,Juan Gómez-Jurado,2015,2017-07-02,Kindle,Story,Thriller,,identity,chaos,,,
La playa de los ahogados,Domingo Villar,2009,2017-07-02,Kindle,Story,Crime,,identity,chaos,,,
For We Are Many,Dennis E. Taylor,2017,2017-07-01,Audible,Story,Space Opera,,consciousness,ai-impact,civilization,future-scenarios,
We Are Legion (We Are Bob),Dennis E. Taylor,2016,2017-06-29,Audible,Story,Space Opera,,consciousness,ai-impact,civilization,future-scenarios,
Basiswissen ITIL® 2011 Edition,Nadin Ebel,2011,2017-06-28,Kindle,Reference,Technical,,delivery,digital,,,
The Three Signs of a Miserable Job,Patrick Lencioni,2007,2017-06-28,Audible,Knowledge,Leadership,,leadership,human-behavior,identity,,
Roadmap Utility 4.0,Daniel R.A. Schallmo & Volker Herbort & Oliver D. Doleski,2017,2017-06-27,Kindle,Knowledge,Strategy,,strategy,digital,business-value,future-scenarios,
The DevOps Adoption Playbook,Sanjeev Sharma,2017,2017-06-25,Kindle,Knowledge,DevOps,DevOps,delivery,agile,digital,business-agility,
Das Alphabet des Denkens,Stefanie Schramm & Claudia Wüstenhagen,2016,2017-06-21,Kindle,Knowledge,Philosophy,,consciousness,creativity,systems-thinking,,
Inside the Box,Drew Boyd & Jacob Goldenberg,2013,2017-06-21,Kindle,Knowledge,Startup,,creativity,product-thinking,design-thinking,,
The Next 100 Years,George Friedman,2009,2017-06-21,Audible,Knowledge,Politics,,strategy,future-scenarios,civilization,geopolitics,
The 4 Disciplines of Execution,Chris McChesney & Sean Covey & Jim Huling,2012,2017-06-20,Kindle,Knowledge,Strategy,,strategy,delivery,leadership,business-value,
The 5 Levels of Leadership,John C. Maxwell,2011,2017-06-16,Kindle,Knowledge,Leadership,,leadership,influence,identity,,
The 4 Disciplines of Execution,Sean Covey & Chris McChesney & Jim Huling,2012,2017-06-16,Audible,Knowledge,Strategy,,strategy,delivery,leadership,business-value,
Der Fürst,Niccolo Machiavelli,1513,2017-06-13,Kindle,Knowledge,Strategy,,strategy,power-dynamics,leadership,,
Vom Kriege,Carl von Clausewitz,1832,2017-06-13,Kindle,Knowledge,Strategy,,strategy,power-dynamics,chaos,,
The 48 Laws Of Power,Robert Greene,1998,2017-06-13,Kindle,Knowledge,Strategy,,strategy,power-dynamics,influence,,
Strategy: A History,Sir Lawrence Freedman,2013,2017-06-13,Kindle,Knowledge,Strategy,,strategy,civilization,power-dynamics,,
Strategy,Lawrence Freedman,2013,2017-06-08,Audible,Knowledge,Strategy,,strategy,civilization,power-dynamics,,
The Turing Exception,William Hertling,2015,2017-06-07,Audible,Story,Near Future,,ai-impact,future-scenarios,ethics,chaos,
NLP im Berufsalltag,Barbara Seidl,2016,2017-06-01,Kindle,Knowledge,Communication,,influence,human-behavior,identity,,
Die Logik des Misslingens,Dietrich Dörner,1989,2017-06-01,Kindle,Knowledge,Complexity,,systems-thinking,complexity,chaos,human-behavior,
The One Minute Workout,Martin Gibala,2017,2017-05-31,Kindle,Knowledge,Health,,health,human-behavior,,,
Geschäftsmodelle in Industrie 4.0,Timothy Kaufmann,2015,2017-05-31,Kindle,Knowledge,Strategy,,strategy,digital,business-value,future-scenarios,
Illusion 4.0,Andreas Syska & Philippe Lièvre,2017,2017-05-31,Kindle,Knowledge,Strategy,,strategy,digital,future-scenarios,business-agility,
Barking up the Wrong Tree,Eric Barker,2017,2017-05-29,Audible,Knowledge,Psychology,,human-behavior,identity,strategy,,
Connect Instantly,Patrick King,2017,2017-05-19,Kindle,Knowledge,Communication,,influence,human-behavior,identity,,
Mitarbeitertypen,Anja von Kanitz,2010,2017-05-19,Kindle,Knowledge,Organization,,leadership,human-behavior,identity,,
Die Anatomie digitaler Geschäftsmodelle,Michael Jaekel,2017,2017-05-19,Kindle,Knowledge,Strategy,,strategy,digital,business-value,future-scenarios,
Management in Komplexität und Unsicherheit,Wolfgang Vieweg,2016,2017-05-19,Kindle,Knowledge,Complexity,,complexity,systems-thinking,chaos,leadership,
Habit Stacking,S.J. Scott,2014,2017-05-19,Audible,Knowledge,Psychology,,human-behavior,identity,flow,,
The Last Firewall,William Hertling,2013,2017-05-19,Audible,Story,Near Future,,ai-impact,future-scenarios,ethics,chaos,
Change Agent,Daniel Suarez,2017,2017-05-18,Audible,Story,Near Future,,ai-impact,future-scenarios,digital,human-behavior,
A.I. Apocalypse,William Hertling,2012,2017-05-17,Audible,Story,Near Future,,ai-impact,future-scenarios,ethics,chaos,
Avogadro Corp,William Hertling,2011,2017-05-16,Audible,Story,Near Future,,ai-impact,future-scenarios,ethics,chaos,
Power-Fragen,Kerstin Hack,2013,2017-05-01,Kindle,Knowledge,Communication,,influence,power-dynamics,leadership,,
Flachsinn,Gunter Dueck,2015,2017-04-25,Audible,Knowledge,Philosophy,,human-behavior,systems-thinking,complexity,ethics,
Sprache Werte Frames,Elisabeth Wehling,2016,2017-04-17,Kindle,Knowledge,Communication,,influence,power-dynamics,identity,,
Evolution der Leere,Peter F. Hamilton,2012,2017-04-17,Audible,Story,Space Opera,,civilization,consciousness,future-scenarios,,
Tag der Entscheidung,Pierce Brown,2014,2017-04-17,Audible,Story,Near Future,,power-dynamics,civilization,future-scenarios,,
Psychologische Auswirkungen von Change Prozessen,Miriam Landes & Eberhard Steiner,2013,2017-04-16,Kindle,Knowledge,Organization,,human-behavior,identity,leadership,complexity,
Im Haus der Feinde,Pierce Brown,2014,2017-04-06,Audible,Story,Near Future,,power-dynamics,civilization,future-scenarios,,
LOGI-Methode,Nicolai Worm,2003,2017-04-03,Kindle,Reference,Lifestyle,,health,,,,
Red Rising,Pierce Brown,2014,2017-04-01,Audible,Story,Space Opera,,power-dynamics,civilization,identity,,
Workshops,Susanne Beermann & Monika Schubach,2015,2017-03-29,Kindle,Reference,Business,,delivery,leadership,,,
Aktivierungsspiele für Seminare und Workshops,Zamyat Klein,2016,2017-03-29,Kindle,Reference,Business,,delivery,agile,,,
Dark Matter: Der Zeitenläufer,Blake Crouch,2016,2017-03-29,Audible,Story,Thriller,,future-scenarios,chaos,identity,,
NEIN,Anja Förster & Peter Kreuz,2017,2017-03-27,Kindle,Knowledge,Leadership,,leadership,identity,human-behavior,,
Du kannst schaffen was du willst,Jan Becker,2016,2017-03-26,Audible,Knowledge,Leadership,,leadership,identity,human-behavior,,
Radikal führen,Reinhard K. Sprenger,2012,2017-03-24,Audible,Knowledge,Communication,,influence,power-dynamics,leadership,,
Todeszone,Phillip P. Peterson,2017,2017-03-20,Audible,Knowledge,Politics,,strategy,civilization,future-scenarios,,
AchtNacht,Sebastian Fitzek,2017,2017-03-14,Audible,Knowledge,Politics,,strategy,civilization,power-dynamics,,
Schlagfertig mit Provokation umgehen,Sophie Lohmann,2016,2017-03-12,Kindle,Story,High Fantasy,,identity,power-dynamics,civilization,,
Strategic Vision,Zbigniew Brzezinski,2012,2017-03-04,Audible,Story,Literary Fiction,,ethics,human-behavior,identity,,
The Clash of Civilizations,Samuel P. Huntington,1996,2017-03-04,Audible,Knowledge,Leadership,,leadership,systems-thinking,identity,,
Die Furcht des Weisen 2,Patrick Rothfuss,2011,2017-02-27,Audible,Knowledge,Leadership,,leadership,human-behavior,identity,,
Voltaire: Candide,Voltaire,1759,2017-02-25,Kindle,Reference,Lifestyle,,creativity,,,,
Systemisches Coaching,Ercüment Aytac,2016,2017-02-24,Kindle,Knowledge,Philosophy,,strategy,identity,ethics,,
Coaching-Techniken,Karsten Drath,2012,2017-02-24,Kindle,Knowledge,Communication,,influence,identity,human-behavior,,
Photographer's Guide to the Panasonic Lumix LX100,Alexander White,2015,2017-02-24,Kindle,Knowledge,Leadership,,ethics,leadership,human-behavior,,
The Obstacle Is the Way,Ryan Holiday,2014,2017-02-24,Audible,Knowledge,Politics,,civilization,power-dynamics,strategy,,
Ich kann auch anders,Isabel García,2016,2017-02-19,Audible,Knowledge,Politics,,civilization,power-dynamics,strategy,,
Fairarscht,Sina Trinkwalder,2016,2017-02-17,Audible,Story,High Fantasy,,identity,power-dynamics,civilization,,
Weltbeben,Gabor Steingart,2016,2017-02-16,Audible,Knowledge,Agile & Lean,Scrum,agile,delivery,flow,,
Wir sind die Guten,Mathias Bröckers & Paul Schreyer,2014,2017-02-15,Audible,Knowledge,Communication,,influence,human-behavior,power-dynamics,,
Die Berufene,M. R. Carey,2014,2017-02-14,Audible,Knowledge,Strategy,,power-dynamics,influence,leadership,,
Die Sprache der Macht,Matthias Nöllke,2010,2017-02-12,Kindle,Knowledge,Communication,,influence,human-behavior,identity,,
Scrum - A Pocket Guide,Gunther Verheyen & Van Haren Publishing,2013,2017-02-02,Kindle,Knowledge,Organization,Scrum,agile,delivery,business-agility,,
Why Don't You Want What I Want?,Rick Maurer,2002,2017-01-29,Kindle,Knowledge,Communication,,influence,human-behavior,identity,,
Machtspiele,Matthias Nöllke,2009,2017-01-29,Kindle,Knowledge,Communication,,influence,power-dynamics,strategy,,
Ich krieg dich!,Leo Martin,2016,2017-01-29,Kindle,Knowledge,Organization,,leadership,strategy,human-behavior,,
Die Alpha DNA,Marina Friess,2016,2017-01-29,Kindle,Knowledge,Psychology,,identity,human-behavior,ethics,,
Antifragile,Nassim Nicholas Taleb,2012,2017-01-26,Audible,Knowledge,Economics,,systems-thinking,complexity,chaos,strategy,evolution
Getting Things Done,David Allen,2001,2017-01-24,Audible,Reference,Business,,flow,delivery,identity,,
Coaching - erfrischend einfach,Daniel Meier & Peter Szabo,2005,2017-01-20,Kindle,Knowledge,Leadership,,leadership,influence,human-behavior,,
The Black Swan,Nassim Nicholas Taleb,2007,2017-01-18,Audible,Knowledge,Economics,,complexity,chaos,future-scenarios,systems-thinking,
Globalization and Its Discontents,Joseph E. Stiglitz,2002,2017-01-18,Audible,Knowledge,Politics,,economics,civilization,power-dynamics,,
How to be a Productivity Ninja,Graham Allcott,2014,2017-01-16,Kindle,Reference,Business,,flow,identity,,,
Ego is the Enemy,Ryan Holiday,2016,2017-01-16,Kindle,Knowledge,Psychology,,identity,human-behavior,ethics,,
Cooking Apicius,Apicius & Sally Grainger,2006,2017-01-16,Kindle,Reference,Lifestyle,,creativity,,,,
How to be a Productivity Ninja,Graham Allcott,2014,2017-01-16,Audible,Reference,Business,,flow,identity,,,
Ego Is the Enemy,Ryan Holiday,2016,2017-01-16,Audible,Knowledge,Psychology,,identity,human-behavior,ethics,,
Beyond the Wall of Resistance,Rick Maurer,2010,2017-01-13,Kindle,Knowledge,Leadership,,influence,human-behavior,leadership,,
Seminare Trainings und Workshops lebendig gestalten,Andrea Lienhart,2015,2017-01-13,Kindle,Knowledge,Communication,,creativity,leadership,influence,,
Feedbackgespräche,Anja von Kanitz,2013,2017-01-13,Kindle,Knowledge,Communication,,leadership,influence,human-behavior,,
Die 10 größten Fehler neuer Führungskräfte,Martin Schmidt,2013,2017-01-13,Kindle,Knowledge,Leadership,,leadership,human-behavior,identity,,
Psychologie der Mitarbeiterführung,Florian Becker,2015,2017-01-13,Kindle,Knowledge,Leadership,,leadership,human-behavior,psychology,,
Systemtheorie für Coaches,Jürgen Kriz,2014,2017-01-13,Kindle,Knowledge,Complexity,,systems-thinking,complexity,leadership,,
Coaching Beratung und Gehirn,Gerhard Roth & Alica Ryba,2016,2017-01-13,Kindle,Knowledge,Neuroscience,,human-behavior,leadership,consciousness,,
Agile Project Management with Scrum,Ken Schwaber,2004,2017-01-10,Kindle,Knowledge,Agile & Lean,Scrum,agile,delivery,business-agility,,
Selbstorganisation braucht Führung,Boris Gloger & Dieter Rösner,2014,2017-01-09,Kindle,Knowledge,Organization,,agile,leadership,systems-thinking,,
Systemisches Fragen,Andreas Patrzek,2017,2017-01-09,Kindle,Knowledge,Communication,,influence,human-behavior,leadership,,
The Power of Habit,Charles Duhigg,2012,2017-01-09,Kindle,Knowledge,Psychology,,human-behavior,identity,systems-thinking,,
Cognitive Productivity,Luc P. Beaudoin,2016,2017-01-09,Kindle,Knowledge,Psychology,,human-behavior,identity,flow,,
The Power of Habit,Charles Duhigg,2012,2017-01-09,Audible,Knowledge,Psychology,,human-behavior,identity,flow,,
Revenger,Alastair Reynolds,2016,2017-01-09,Audible,Story,Space Opera,,future-scenarios,chaos,civilization,,
Fooled by Randomness,Nassim Taleb,2001,2017-01-04,Kindle,Knowledge,Economics,,complexity,chaos,human-behavior,,
Fooled by Randomness,Nassim Nicholas Taleb,2001,2017-01-04,Audible,Knowledge,Economics,,complexity,chaos,human-behavior,,
Omnivore's Dilemma,Michael Pollan,2006,2017-01-03,Kindle,Knowledge,Health,,health,evolution,ethics,,
Cooked,Michael Pollan,2013,2017-01-03,Kindle,Reference,Lifestyle,,health,creativity,,,
The Art of Woo,G. Richard Shell & Mario Moussa,2007,2017-01-03,Kindle,Knowledge,Communication,,influence,strategy,leadership,,
The Seventh Sense,Joshua Cooper Ramo,2016,2017-01-03,Kindle,Knowledge,Strategy,,strategy,complexity,digital,future-scenarios,
The Coaching Habit,Michael Bungay Stanier,2016,2017-01-03,Kindle,Knowledge,Leadership,,leadership,influence,human-behavior,,
Start With Why,Simon Sinek,2009,2017-01-03,Kindle,Knowledge,Leadership,,leadership,identity,influence,,
Cooked,Michael Pollan,2013,2017-01-03,Audible,Reference,Lifestyle,,health,creativity,,,
The Seventh Sense,Joshua Cooper Ramo,2016,2017-01-03,Audible,Knowledge,Strategy,,strategy,complexity,digital,future-scenarios,
The Coaching Habit,Michael Bungay Stanier,2016,2017-01-03,Audible,Knowledge,Leadership,,leadership,influence,human-behavior,,
Start with Why,Simon Sinek,2009,2017-01-03,Audible,Knowledge,Leadership,,leadership,identity,influence,,
The Achievement Habit,Bernard Roth,2015,2017-01-03,Audible,Knowledge,Psychology,,identity,human-behavior,creativity,,
Habit Makes Perfect,Sandeep Sharma,2017,2017-01-02,Kindle,Knowledge,Psychology,,human-behavior,identity,flow,,
Blockchain,Leon Fischer,2016,2016-12-29,Kindle,Knowledge,Computer Science,,digital,future-scenarios,complexity,,
Die geheime Migrationsagenda,Friederike Beck,2016,2016-12-26,Kindle,Knowledge,Politics,,civilization,power-dynamics,ethics,,
Deep Work,Cal Newport,2016,2016-12-25,Kindle,Knowledge,Psychology,,flow,delivery,identity,,
Deep Work,Cal Newport,2016,2016-12-25,Audible,Knowledge,Psychology,,flow,delivery,identity,,
Die Furcht des Weisen 1,Patrick Rothfuss,2011,2016-12-24,Audible,Story,High Fantasy,,identity,power-dynamics,civilization,,
The 7 Habits of Highly Effective People,Stephen R. Covey,2004,2016-12-20,Kindle,Knowledge,Leadership,,identity,leadership,human-behavior,,
The 7 Habits of Highly Effective People,Stephen R. Covey,2004,2016-12-20,Audible,Knowledge,Leadership,,identity,leadership,human-behavior,,
The Five Dysfunctions of a Team,Patrick M. Lencioni,2002,2016-12-16,Kindle,Story,Business Fiction,,leadership,power-dynamics,human-behavior,,
The Five Dysfunctions of a Team,Patrick Lencioni,2002,2016-12-16,Audible,Story,Business Fiction,,leadership,power-dynamics,human-behavior,,
Der Name des Windes,Patrick Rothfuss,2007,2016-12-14,Audible,Story,High Fantasy,,identity,power-dynamics,civilization,,
People Tactics,Patrick King,2016,2016-12-12,Kindle,Knowledge,Communication,,influence,human-behavior,leadership,,
Tools of Titans,Timothy Ferriss,2016,2016-12-12,Kindle,Reference,Business,,identity,leadership,creativity,,
Financial Times Guide to Lean,Andy Brophy,2015,2016-12-08,Kindle,Knowledge,Agile & Lean,Lean,lean,flow,delivery,,
Lean Startup,Eric Ries,2011,2016-12-07,Kindle,Knowledge,Startup,Lean,lean,business-agility,delivery,product-thinking,
Lean Enterprise,Jez Humble & Joanne Molesky & Barry O'Reilly,2014,2016-12-07,Kindle,Knowledge,Organization,,agile,lean,delivery,business-agility,
Das Joshua-Profil,Sebastian Fitzek,2015,2016-12-06,Audible,Story,Thriller,,chaos,power-dynamics,,,
El proyecto Joshua,Sebastian Fitzek,2015,2016-12-03,Kindle,Story,Thriller,,chaos,power-dynamics,,,
Coaching Agile Teams,Adkins Lyssa,2010,2016-11-28,Kindle,Knowledge,Agile & Lean,,agile,leadership,delivery,business-agility,
Stories of Your Life and Others,Ted Chiang,2002,2016-11-26,Kindle,Story,Hard Science,,consciousness,ai-impact,future-scenarios,,
